Player_Name,Club,Position,Total Goals,Total Assists,Penalties,Match_Played,Season,Competition
Christiansen,Malmö,Midfielder,0,0,0,4,2021-2022,UCL
Jordán,Sevilla,Midfielder,1,0,0,6,2021-2022,UCL
Herrera,Paris,Midfielder,1,0,0,6,2021-2022,UCL
Garmash,Dynamo Kyiv,Midfielder,1,0,0,6,2021-2022,UCL
Aké,Man. City,Defender,1,0,0,6,2021-2022,UCL
L. Nmecha,Wolfsburg,Forward,2,0,0,5,2021-2022,UCL
Solomon,Shakhtar Donetsk,Midfielder,0,0,0,5,2021-2022,UCL
Gómez,Sevilla,Forward,0,0,0,5,2021-2022,UCL
Kessié,Milan,Midfielder,0,1,0,5,2021-2022,UCL
Lukaku,Chelsea,Forward,2,0,0,6,2021-2022,UCL
Grujić,Porto,Midfielder,0,1,0,6,2021-2022,UCL
Paredes,Paris,Midfielder,0,0,0,5,2021-2022,UCL
Calabria,Milan,Defender,0,0,0,4,2021-2022,UCL
Orbán,Leipzig,Defender,0,0,0,4,2021-2022,UCL
Lovren,Zenit,Defender,0,0,0,4,2021-2022,UCL
Dahlin,Malmö,Goalkeeper,0,0,0,4,2021-2022,UCL
Evanilson,Porto,Forward,0,0,0,4,2021-2022,UCL
Welinton,Beşiktaş,Defender,0,0,0,4,2021-2022,UCL
Bruno,Sheriff,Midfielder,0,0,0,6,2021-2022,UCL
Moreno,Villarreal,Defender,1,0,0,7,2021-2022,UCL
Montero,Beşiktaş,Defender,1,0,0,4,2021-2022,UCL
Vrsaljko,Atlético,Defender,0,0,0,5,2021-2022,UCL
Greenwood,Man. United,Forward,1,1,0,4,2021-2022,UCL
